Instance : att532.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
7	87480	88749	88099.7
8	87284	88356	87742.9
9	87120	87871	87463.7
10	87008	87509	87263.6
11	86918	87337	87110.4
12	86886	87163	86998.8
13	86840	87081	86925.3
14	86803	86952	86874.5
15	86769	86917	86839.5
16	86751	86885	86813.8
17	86751	86831	86795.6
18	86729	86815	86782.8
19	86729	86807	86770
20	86729	86792	86757.7
21	86729	86789	86746.9
22	86729	86751	86741.1
23	86729	86751	86735.9
24	86729	86751	86731
25	86729	86751	86729.2
26	86729	86729	86729
trial...20
gene	min	max	ave
1	91349	96265	93294.4
2	90220	93732	91737.4
3	89022	92163	90626
4	88888	91117	89765
5	88194	89901	89102.8
6	87898	89253	88569.5
7	87546	88789	88136.9
8	87306	88300	87760.1
9	87142	87838	87479.6
10	86977	87530	87262
11	86897	87333	87108.9
12	86836	87146	86991
13	86799	87045	86914.2
14	86752	86958	86856.8
15	86729	86880	86807.6
16	86729	86857	86774.5
17	86729	86825	86748
18	86729	86784	86735.6
19	86729	86752	86729.6
20	86729	86751	86729.1
21	86729	86729	86729
opt count : 0
opt average : 86757.8
convergence generation : 23.05
